Timestamp,Air_Temp_C,Humidity_Pct,pH,EC_mS_cm,DO_mg_L,N_ppm,P_ppm,K_ppm
2024-01-01 00:00:00,17.89,75.56,6.0,1.82,8.73,149.86,49.92,199.78
2024-01-01 01:00:00,18.65,74.77,6.07,1.81,8.48,149.76,49.87,199.48
2024-01-01 02:00:00,18.8,74.3,5.98,1.81,8.52,149.46,49.78,199.16
2024-01-01 03:00:00,19.25,74.96,6.0,1.81,8.62,149.32,49.73,198.85
2024-01-01 04:00:00,19.96,71.92,6.07,1.81,8.59,149.05,49.67,198.63
2024-01-01 05:00:00,20.63,70.83,5.97,1.8,8.36,148.8,49.57,198.29
2024-01-01 06:00:00,22.34,66.48,6.02,1.8,8.16,148.55,49.54,198.16
2024-01-01 07:00:00,22.27,61.36,6.03,1.8,8.16,148.31,49.51,197.76
2024-01-01 08:00:00,23.92,62.43,6.06,1.8,8.27,148.04,49.48,197.62
2024-01-01 09:00:00,24.96,60.56,6.03,1.79,7.96,147.81,49.41,197.34
2024-01-01 10:00:00,25.19,55.24,6.02,1.79,8.01,147.58,49.35,197.19
2024-01-01 11:00:00,25.86,51.56,6.01,1.79,7.93,147.38,49.29,196.8
2024-01-01 12:00:00,26.43,54.4,6.0,1.79,7.82,147.14,49.24,196.66
2024-01-01 13:00:00,26.46,56.86,5.96,1.78,7.9,146.92,49.17,196.32
2024-01-01 14:00:00,25.81,52.42,6.06,1.78,7.95,146.64,49.1,196.07
2024-01-01 15:00:00,24.7,57.61,6.07,1.78,7.98,146.51,49.03,195.71
2024-01-01 16:00:00,24.59,63.2,5.98,1.78,7.99,146.32,48.94,195.4
2024-01-01 17:00:00,22.56,63.18,6.0,1.77,8.32,146.18,48.91,195.18
2024-01-01 18:00:00,22.89,63.51,5.9,1.77,8.14,146.03,48.84,195.05
2024-01-01 19:00:00,21.23,64.24,6.03,1.77,8.28,145.86,48.78,194.89
2024-01-01 20:00:00,19.74,68.03,5.98,1.77,8.63,145.75,48.73,194.51
2024-01-01 21:00:00,18.47,74.11,5.97,1.76,8.52,145.51,48.65,194.14
2024-01-01 22:00:00,17.98,75.26,6.04,1.76,8.64,145.28,48.55,193.83
2024-01-01 23:00:00,17.68,77.09,6.06,1.76,8.75,145.07,48.49,193.7
2024-01-02 00:00:00,17.96,75.25,6.0,1.76,8.79,144.85,48.4,193.4
2024-01-02 01:00:00,18.32,77.67,6.07,1.76,8.62,144.68,48.36,193.18
2024-01-02 02:00:00,17.81,74.97,5.98,1.75,8.83,144.52,48.27,193.0
2024-01-02 03:00:00,19.61,71.55,6.08,1.75,8.57,144.4,48.17,192.86
2024-01-02 04:00:00,18.6,71.65,5.97,1.75,8.91,144.25,48.08,192.73
2024-01-02 05:00:00,20.73,65.33,6.0,1.75,8.46,144.03,47.98,192.59
2024-01-02 06:00:00,21.9,68.92,6.01,1.75,8.27,143.85,47.91,192.37
2024-01-02 07:00:00,22.49,62.26,5.94,1.74,8.43,143.7,47.84,192.17
2024-01-02 08:00:00,24.17,62.07,5.96,1.74,8.17,143.57,47.74,192.03
2024-01-02 09:00:00,24.83,57.51,6.0,1.74,8.12,143.31,47.65,191.83
2024-01-02 10:00:00,25.64,53.48,6.05,1.74,7.86,143.18,47.59,191.62
2024-01-02 11:00:00,25.6,57.94,6.13,1.74,7.75,142.96,47.55,191.35
2024-01-02 12:00:00,26.07,54.25,6.04,1.73,7.89,142.78,47.5,191.19
2024-01-02 13:00:00,26.98,55.8,6.02,1.73,7.62,142.53,47.42,190.89
2024-01-02 14:00:00,25.25,55.65,6.06,1.73,8.04,142.23,47.33,190.67
2024-01-02 15:00:00,24.75,54.86,6.1,1.73,7.88,141.97,47.29,190.32
2024-01-02 16:00:00,23.92,59.07,6.0,1.72,8.19,141.72,47.24,190.12
2024-01-02 17:00:00,22.45,60.76,6.05,1.72,8.27,141.46,47.15,189.81
2024-01-02 18:00:00,22.03,66.71,6.09,1.72,8.38,141.34,47.08,189.47
2024-01-02 19:00:00,20.18,69.82,6.01,1.72,8.52,141.2,47.01,189.16
2024-01-02 20:00:00,20.77,67.67,5.95,1.71,8.48,140.92,46.95,188.98
2024-01-02 21:00:00,19.51,68.58,6.03,1.71,8.56,140.66,46.91,188.82
2024-01-02 22:00:00,18.94,71.18,6.1,1.71,8.66,140.46,46.82,188.47
2024-01-02 23:00:00,18.99,75.31,6.06,1.71,8.48,140.31,46.76,188.25
2024-01-03 00:00:00,18.28,74.51,6.01,1.7,8.55,140.07,46.74,188.07
2024-01-03 01:00:00,18.97,71.47,6.04,1.7,8.66,139.92,46.7,187.67
2024-01-03 02:00:00,18.55,70.27,6.1,1.7,8.76,139.75,46.65,187.37
2024-01-03 03:00:00,19.11,68.04,6.06,1.7,8.65,139.59,46.58,187.01
2024-01-03 04:00:00,20.37,70.56,6.05,1.69,8.44,139.35,46.54,186.88
2024-01-03 05:00:00,20.64,68.45,6.03,1.69,8.3,139.18,46.46,186.72
2024-01-03 06:00:00,22.49,66.88,6.13,1.69,8.14,139.05,46.37,186.52
2024-01-03 07:00:00,22.79,63.62,6.08,1.69,8.09,138.93,46.29,186.32
2024-01-03 08:00:00,24.38,60.79,6.09,1.69,8.07,138.73,46.24,185.93
2024-01-03 09:00:00,24.7,58.37,6.08,1.68,8.04,138.63,46.15,185.75
2024-01-03 10:00:00,25.87,53.1,6.12,1.68,8.04,138.42,46.06,185.5
2024-01-03 11:00:00,25.74,56.96,6.15,1.68,7.81,138.26,46.04,185.39
2024-01-03 12:00:00,25.91,50.48,6.07,1.68,7.98,138.01,46.01,185.28
2024-01-03 13:00:00,26.37,53.4,6.0,1.68,7.68,137.74,45.95,185.0
2024-01-03 14:00:00,25.54,54.61,6.08,1.67,8.04,137.62,45.86,184.68
2024-01-03 15:00:00,23.9,60.26,5.98,1.67,8.04,137.35,45.82,184.35
2024-01-03 16:00:00,24.35,57.79,6.08,1.67,8.21,137.14,45.79,184.0
2024-01-03 17:00:00,22.9,61.26,6.15,1.67,8.05,137.02,45.71,183.82
2024-01-03 18:00:00,22.04,66.75,6.07,1.66,8.33,136.84,45.69,183.5
2024-01-03 19:00:00,21.17,67.13,5.99,1.66,8.32,136.68,45.62,183.33
2024-01-03 20:00:00,19.16,68.5,6.08,1.66,8.5,136.44,45.59,183.15
2024-01-03 21:00:00,18.73,71.18,6.04,1.66,8.59,136.24,45.55,182.91
2024-01-03 22:00:00,18.75,73.38,5.98,1.65,8.56,135.95,45.51,182.52
2024-01-03 23:00:00,17.93,73.5,6.08,1.65,8.44,135.84,45.44,182.27
2024-01-04 00:00:00,17.98,75.46,6.12,1.65,8.57,135.68,45.38,182.15
2024-01-04 01:00:00,17.94,73.45,6.08,1.65,8.62,135.54,45.35,181.88
2024-01-04 02:00:00,18.59,75.93,6.05,1.65,8.75,135.36,45.33,181.63
2024-01-04 03:00:00,19.51,72.25,6.09,1.64,8.56,135.21,45.23,181.35
2024-01-04 04:00:00,19.77,69.94,6.05,1.64,8.4,135.03,45.21,181.07
2024-01-04 05:00:00,20.89,68.29,6.06,1.64,8.25,134.82,45.17,180.91
2024-01-04 06:00:00,21.83,61.99,6.12,1.64,8.27,134.69,45.13,180.65
2024-01-04 07:00:00,22.75,65.66,6.04,1.64,8.26,134.45,45.09,180.28
2024-01-04 08:00:00,25.08,61.66,6.12,1.63,7.97,134.17,45.06,180.11
2024-01-04 09:00:00,25.3,60.3,6.11,1.63,8.0,134.03,45.01,179.95
2024-01-04 10:00:00,25.61,55.42,6.02,1.63,8.01,133.8,44.98,179.57
2024-01-04 11:00:00,26.67,58.44,6.06,1.63,7.84,133.7,44.88,179.43
2024-01-04 12:00:00,26.1,56.64,6.0,1.63,7.81,133.59,44.78,179.32
2024-01-04 13:00:00,26.18,56.33,6.04,1.62,7.92,133.45,44.71,179.19
2024-01-04 14:00:00,25.14,56.94,6.11,1.62,7.82,133.16,44.68,178.99
2024-01-04 15:00:00,23.89,56.5,6.09,1.62,8.08,133.02,44.61,178.64
2024-01-04 16:00:00,24.48,63.69,6.14,1.62,8.07,132.87,44.59,178.4
2024-01-04 17:00:00,23.54,60.82,6.11,1.61,8.07,132.69,44.51,178.02
2024-01-04 18:00:00,21.56,65.63,6.07,1.61,8.38,132.51,44.44,177.71
2024-01-04 19:00:00,21.41,67.95,6.11,1.61,8.34,132.26,44.41,177.38
2024-01-04 20:00:00,19.69,70.71,6.06,1.61,8.53,132.06,44.39,177.03
2024-01-04 21:00:00,19.51,70.4,6.1,1.6,8.68,131.77,44.29,176.8
2024-01-04 22:00:00,18.3,72.68,6.06,1.6,8.56,131.48,44.25,176.41
2024-01-04 23:00:00,18.52,74.66,6.12,1.6,8.92,131.25,44.22,176.08
2024-01-05 00:00:00,17.91,77.53,6.12,1.6,8.63,131.13,44.14,175.96
2024-01-05 01:00:00,18.43,76.68,6.11,1.59,8.43,131.01,44.11,175.69
2024-01-05 02:00:00,18.99,68.7,6.18,1.59,8.62,130.77,44.03,175.43
